（親）ASIN,タイトル,セッション数 - 合計,セッション数 - 合計 - B2B,セッション率 - 合計,セッション率 - 合計 - B2B,ページビュー - 合計,ページビュー - 合計 - B2B,ページビュー率 - 合計,ページビュー率 - 合計 - B2B,おすすめ出品（おすすめ商品）の獲得率,おすすめ出品（おすすめ商品）の獲得率 - B2B,注文された商品点数,注文点数 - B2B,ユニットセッション率,ユニットセッション率 - B2B,注文商品の売上額,注文商品の売上額 - B2B,注文品目総数,注文品目総数 - B2B
B07CCYVCDD,日本製 (EndMark) 本革 B5 ノートカバー デイリー使いの強い味方,129,0,1.08%,0.00%,162,0,1.02%,0.00%,100.00%,0.00%,1,0,0.78%,0.00%,"￥6,980",￥0,1,0
B012JW6VBS,(EndMark) 日本製 革職人がつくる 本革 idカードホルダー idケース 革 リール,51,0,0.43%,0.00%,59,0,0.37%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B01I2WLSBW,[エンドマーク] 日本製 革職人がつくる 本革 薄型 単パスケース 定期入れ 2ポケット,32,0,0.27%,0.00%,42,0,0.26%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B01MYFCJSH,エンドマーク 印鑑ケース 印鑑ホルダー 日本製 革,26,1,0.22%,1.39%,29,1,0.18%,1.18%,100.00%,100.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B01N23YRNF,[エンドマーク] メガネケース 眼鏡ケース おしゃれ メンズ レディース 革 日本製,14,0,0.12%,0.00%,21,0,0.13%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B01N4EICQ4,エンドマーク ペンケース 革 おしゃれ スリム 筆箱 日本製,23,0,0.19%,0.00%,27,0,0.17%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B01N5F7M36,エンドマーク システム手帳 本革 バイブル ペンホルダー付,34,0,0.28%,0.00%,45,0,0.28%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B073XJ8GT6,エンドマーク ペンケース 本革 大容量 シンプル メンズ 日本製,14,0,0.12%,0.00%,16,0,0.10%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0743GHNRG,エンドマーク 印鑑マット,20,3,0.17%,4.17%,25,3,0.16%,3.53%,100.00%,100.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0744JZDNX,エンドマーク ペンケース 日本製 革 軽量薄型,71,0,0.59%,0.00%,91,0,0.57%,0.00%,97.10%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B078S4CB9Z,[エンドマーク] 日本製 メガネケース 革 メンズ 手に馴染む柔らかな質感と革艶の経年変化が楽しめる大人の眼鏡入れ,18,0,0.15%,0.00%,22,0,0.14%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B079JXFQQY,[エンドマーク] 日本製 メガネケース 革 首や鞄にぶらさげて「サッ」と使う眼鏡入れ,2,0,0.02%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B07D49KMWG,[リノリ] 日本製 がま口 財布 小銭入れ レディース 革 かわいい ストラップ穴 程よくポケットサイズで手ごろな存在はいつでもどこでも一緒,104,0,0.87%,0.00%,139,0,0.88%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
